
                  X             Displacement          Force      

                0.                 0.                 2.83444    
              100.001E-06         10.9994E-03         1.32212E+03
              200.013E-06         21.9971E-03         2.56764E+03
              300.002E-06         32.9979E-03         3.84633E+03
              400.001E-06         44.0047E-03         5.1669E+03 
              500.013E-06         55.0058E-03         6.40914E+03
              600.011E-06         66.004E-03          7.63105E+03
              700.01E-06          77.0049E-03         8.90182E+03
              800.008E-06         87.984E-03         10.0994E+03 
              900.007E-06         98.9632E-03        11.1917E+03 
                1.E-03           109.942E-03         12.2631E+03 
                1.1E-03          120.922E-03         13.1363E+03 
                1.2E-03          131.9E-03           13.5976E+03 
                1.3E-03          142.896E-03         13.7807E+03 
                1.40001E-03      153.916E-03         13.9418E+03 
                1.5E-03          164.935E-03         14.0587E+03 
                1.60001E-03      175.955E-03         14.1226E+03 
                1.7E-03          186.973E-03         14.1606E+03 
                1.80001E-03      197.965E-03         14.1844E+03 
                1.9E-03          208.928E-03         14.2016E+03 
                2.00001E-03      219.938E-03         14.215E+03  
                2.10001E-03      230.997E-03         14.2263E+03 
                2.20001E-03      242.057E-03         14.2348E+03 
                2.30001E-03      253.083E-03         14.2416E+03 
                2.40001E-03      264.087E-03         14.2469E+03 
                2.50001E-03      275.09E-03          14.2508E+03 
                2.60001E-03      286.094E-03         14.2538E+03 
                2.70001E-03      297.097E-03         14.256E+03  
                2.80001E-03      308.101E-03         14.2574E+03 
                2.90001E-03      319.104E-03         14.2578E+03 
                3.00001E-03      330.049E-03         14.2572E+03 
                3.10001E-03      340.94E-03          14.2557E+03 
                3.20001E-03      351.832E-03         14.2536E+03 
                3.30001E-03      362.723E-03         14.2509E+03 
                3.4E-03          373.795E-03         14.2475E+03 
                3.50001E-03      384.881E-03         14.2434E+03 
                3.60001E-03      395.967E-03         14.2387E+03 
                3.7E-03          407.052E-03         14.2334E+03 
                3.80001E-03      418.139E-03         14.2276E+03 
                3.9E-03          429.163E-03         14.2212E+03 
                4.00001E-03      440.135E-03         14.2143E+03 
                4.1E-03          451.105E-03         14.2069E+03 
                4.20001E-03      462.078E-03         14.199E+03  
                4.30001E-03      473.049E-03         14.1906E+03 
                4.4E-03          484.02E-03          14.1817E+03 
                4.50001E-03      494.992E-03         14.1724E+03 
                4.6E-03          505.963E-03         14.1625E+03 
                4.70001E-03      516.935E-03         14.1522E+03 
                4.80001E-03      527.907E-03         14.1415E+03 
                4.9E-03          538.877E-03         14.1302E+03 
                5.00001E-03      549.849E-03         14.1186E+03 
                5.1E-03          560.82E-03          14.1064E+03 
                5.20001E-03      571.606E-03         14.0938E+03 
                5.3E-03          582.348E-03         14.0808E+03 
                5.40001E-03      593.091E-03         14.0673E+03 
                5.5E-03          603.84E-03          14.0533E+03 
                5.60001E-03      614.981E-03         14.0384E+03 
                5.70001E-03      626.122E-03         14.0229E+03 
                5.8E-03          637.262E-03         14.0071E+03 
                5.90001E-03      648.403E-03         13.9906E+03 
                6.E-03           659.543E-03         13.9736E+03 
                6.1E-03          670.685E-03         13.9561E+03 
                6.20001E-03      681.826E-03         13.9381E+03 
                6.3E-03          692.966E-03         13.9196E+03 
                6.4E-03          704.107E-03         13.9004E+03 
                6.50001E-03      715.248E-03         13.8808E+03 
                6.6E-03          726.387E-03         13.8605E+03 
                6.70001E-03      737.389E-03         13.8397E+03 
                6.80001E-03      748.294E-03         13.8182E+03 
                6.9E-03          759.197E-03         13.7962E+03 
                7.00001E-03      770.101E-03         13.7735E+03 
                7.10001E-03      781.006E-03         13.7502E+03 
                7.2E-03          791.908E-03         13.7262E+03 
                7.30001E-03      802.812E-03         13.7016E+03 
                7.40001E-03      813.717E-03         13.6762E+03 
                7.5E-03          824.619E-03         13.6501E+03 
                7.60001E-03      835.523E-03         13.6232E+03 
                7.7E-03          846.427E-03         13.5956E+03 
                7.8E-03          857.33E-03          13.5671E+03 
                7.9E-03          868.6E-03           13.537E+03  
                8.00001E-03      879.925E-03         13.5058E+03 
                8.10001E-03      891.055E-03         13.4736E+03 
                8.2E-03          902.13E-03          13.4405E+03 
                8.30001E-03      913.208E-03         13.4065E+03 
                8.4E-03          924.285E-03         13.3716E+03 
                8.50001E-03      935.363E-03         13.3356E+03 
                8.6E-03          946.438E-03         13.2986E+03 
                8.70001E-03      957.516E-03         13.2608E+03 
                8.8E-03          968.593E-03         13.2218E+03 
                8.90001E-03      979.24E-03          13.183E+03  
                9.E-03           989.823E-03         13.1429E+03 
                9.10001E-03        1.00041           13.1022E+03 
                9.2E-03            1.01162           13.0573E+03 
                9.3E-03            1.02282           13.0114E+03 
                9.4E-03            1.03402           12.9648E+03 
                9.50001E-03        1.04519           12.9173E+03 
                9.60001E-03        1.05585           12.8691E+03 
                9.70001E-03        1.06652           12.8204E+03 
                9.8E-03            1.0777            12.7686E+03 
                9.90001E-03        1.08894           12.714E+03  
               10.E-03             1.1               12.6586E+03 




