"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.0200011,1.43707,1437.07
0.0400051,2.90051,2900.51
0.0599947,4.43098,4430.98
0.0799874,5.68307,5683.07
0.0999767,7.27963,7279.63
0.119945,8.61698,8616.98
0.139913,10.1432,10143.2
0.159881,10.831299999999999,10831.3
0.179849,11.1259,11125.9
0.199818,11.2407,11240.7
0.219786,11.3088,11308.8
0.239754,11.3573,11357.3
0.259722,11.4021,11402.1
0.279687,11.444,11444.0
0.299655,11.4846,11484.6
0.319624,11.517,11517.0
0.339592,11.5525,11552.5
0.35956,11.585,11585.0
0.379528,11.6158,11615.8
0.399572,11.6446,11644.6
0.419703,11.6735,11673.5
0.439831,11.7013,11701.3
0.459958,11.727500000000001,11727.5
0.480089,11.7533,11753.3
0.500217,11.7781,11778.1
0.520442,11.802100000000001,11802.1
0.540676,11.8254,11825.4
0.560907,11.848,11848.0
0.581138,11.8699,11869.9
0.601372,11.8913,11891.3
0.621604,11.912,11912.0
0.641838,11.932200000000002,11932.2
0.662069,11.9519,11951.9
0.6823,11.971200000000001,11971.2
0.702534,11.99,11990.0
0.722765,12.0083,12008.3
0.742996,12.026200000000001,12026.2
0.763231,12.043700000000001,12043.7
0.783462,12.0608,12060.8
0.803693,12.0775,12077.5
0.823927,12.0939,12093.9
0.844158,12.1099,12109.9
0.864393,12.1255,12125.5
0.884624,12.140799999999999,12140.8
0.904855,12.155700000000001,12155.7
0.925089,12.1704,12170.4
0.94532,12.184700000000001,12184.7
0.965551,12.1988,12198.8
0.985785,12.2126,12212.6
1.00602,12.2261,12226.1
1.02625,12.2394,12239.4
1.04648,12.2524,12252.4
1.06671,12.2652,12265.2
1.08695,12.277600000000001,12277.6
1.10718,12.2898,12289.8
1.12741,12.3018,12301.8
1.14764,12.313600000000001,12313.6
1.16787,12.3251,12325.1
1.18811,12.3364,12336.4
1.20834,12.3475,12347.5
1.22857,12.3583,12358.3
1.24877,12.369,12369.0
1.26859,12.3794,12379.4
1.28841,12.389600000000002,12389.6
1.30823,12.399600000000001,12399.6
1.32804,12.4095,12409.5
1.34786,12.4191,12419.1
1.36768,12.4285,12428.5
1.3875,12.437700000000001,12437.7
1.40732,12.446700000000002,12446.7
1.42714,12.4556,12455.6
1.44696,12.464200000000002,12464.2
1.46678,12.472700000000001,12472.7
1.4866,12.481,12481.0
1.50642,12.4892,12489.2
1.52624,12.497200000000001,12497.2
1.54606,12.505,12505.0
1.56588,12.5127,12512.7
1.58627,12.5205,12520.5
1.60675,12.5281,12528.1
1.62723,12.5356,12535.6
1.64772,12.5429,12542.9
1.66819,12.55,12550.0
1.68867,12.557,12557.0
1.70905,12.563799999999999,12563.8
1.72911,12.5704,12570.4
1.74916,12.5769,12576.9
1.76921,12.5833,12583.3
1.78927,12.589500000000001,12589.5
1.80932,12.5955,12595.5
1.82938,12.6015,12601.5
1.84943,12.6072,12607.2
1.86948,12.6128,12612.8
1.88953,12.6183,12618.3
1.90959,12.623700000000001,12623.7
1.92964,12.6289,12628.9
1.94969,12.634,12634.0
1.96975,12.6389,12638.9
1.9898,12.6437,12643.7
2.00978,12.648299999999999,12648.3
