"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.4293400000000003,3429.34
0.124006,4.399850000000001,4399.85
0.155041,5.63424,5634.24
0.186012,6.6676400000000005,6667.64
0.216989,7.3187,7318.7
0.247965,7.67,7670.0
0.278892,7.91923,7919.23
0.309817,8.16555,8165.55
0.340742,8.35342,8353.42
0.371667,8.50756,8507.56
0.402592,8.633700000000001,8633.7
0.433517,8.741100000000001,8741.1
0.464442,8.8352,8835.2
0.495367,8.90217,8902.17
0.526292,8.95783,8957.83
0.557217,8.996799999999999,8996.8
0.588142,9.02713,9027.13
0.619184,9.04217,9042.17
0.650357,9.046520000000001,9046.52
0.681529,9.04504,9045.04
0.712706,9.0374,9037.4
0.743879,9.02524,9025.24
0.775056,9.01069,9010.69
0.806229,8.99399,8993.99
0.837401,8.97532,8975.32
0.868578,8.95501,8955.01
0.899751,8.93316,8933.16
0.930923,8.91028,8910.28
0.9621,8.88649,8886.49
0.993273,8.86162,8861.62
1.02458,8.835870000000002,8835.87
1.05597,8.80925,8809.25
1.08735,8.78162,8781.62
1.11873,8.75299,8752.99
1.15011,8.72326,8723.26
1.18149,8.69203,8692.03
1.21287,8.65972,8659.72
1.24425,8.62632,8626.32
1.27563,8.59191,8591.91
1.30701,8.556040000000001,8556.04
1.33839,8.51868,8518.68
1.36977,8.48005,8480.05
1.40115,8.43994,8439.94
1.43253,8.39832,8398.32
1.46386,8.355290000000002,8355.29
1.49469,8.311209999999999,8311.21
1.52588,8.26498,8264.98
1.55671,8.21764,8217.64
1.58784,8.1684,8168.4
1.6188,8.118020000000001,8118.02
1.64979,8.065560000000001,8065.56
1.68083,8.0109,8010.9
1.71174,7.95449,7954.49
1.74285,7.89567,7895.67
1.77368,7.8352900000000005,7835.29
1.80486,7.77184,7771.84
1.83577,7.706840000000001,7706.84
1.86685,7.63933,7639.33
1.89784,7.5694300000000005,7569.43
1.92874,7.497560000000001,7497.56
1.95989,7.42308,7423.08
1.99074,7.34704,7347.04
2.02204,7.26797,7267.97
2.05269,7.1877200000000006,7187.72
2.08403,7.10461,7104.61
2.11474,7.02031,7020.31
2.1459,6.933520000000001,6933.52
2.17689,6.8454,6845.4
2.20772,6.75621,6756.21
2.23901,6.66481,6664.81
2.26951,6.57439,6574.39
2.30113,6.479760000000001,6479.76
2.33197,6.3864,6386.4
2.36273,6.292560000000001,6292.56
2.39438,6.19644,6196.44
2.42478,6.10191,6101.91
2.45518,6.00892,6008.92
2.48456,5.91809,5918.09
2.51622,5.8198,5819.8
2.54913,5.71946,5719.46
2.58034,5.62211,5622.11
2.61143,5.52808,5528.08
2.64251,5.43741,5437.41
2.6718,5.34862,5348.62
2.70105,5.263,5263.0
2.73443,5.16905,5169.05
2.76643,5.07691,5076.91
2.79843,4.98766,4987.66
2.83043,4.901470000000001,4901.47
2.86336,4.81592,4815.92
2.89664,4.73111,4731.11
2.92992,4.6487799999999995,4648.78
2.9632,4.5694799999999995,4569.48
2.99648,4.49312,4493.12
3.02976,4.41991,4419.91
3.0631,4.36001,4360.01
3.09614,4.3181899999999995,4318.19
3.12814,4.28519,4285.19
