"displacement,mm","force,kN","force,N"
0.0,0.00416753,4.16753
0.0200011,1.43707,1437.07
0.0400051,2.90051,2900.51
0.0599947,4.43098,4430.98
0.0799874,5.68307,5683.07
0.0999768,7.26054,7260.54
0.119945,8.15399,8153.99
0.139913,8.86089,8860.89
0.159881,9.48416,9484.16
0.179849,10.03,10030.0
0.199818,10.4577,10457.7
0.219786,10.8598,10859.8
0.239754,11.2255,11225.5
0.259722,11.5293,11529.3
0.279687,11.7665,11766.5
0.299655,11.9704,11970.4
0.319624,12.1385,12138.5
0.339592,12.260299999999999,12260.3
0.35956,12.3369,12336.9
0.379528,12.408299999999999,12408.3
0.399572,12.4445,12444.5
0.419703,12.4788,12478.8
0.439831,12.5024,12502.4
0.459958,12.5198,12519.8
0.480089,12.5355,12535.5
0.500217,12.5496,12549.6
0.520246,12.5624,12562.4
0.540274,12.5737,12573.7
0.560298,12.5836,12583.6
0.580323,12.592600000000001,12592.6
0.600351,12.6014,12601.4
0.620375,12.6093,12609.3
0.640403,12.616200000000001,12616.2
0.660428,12.6229,12622.9
0.680452,12.6288,12628.8
0.70048,12.6343,12634.3
0.720505,12.6393,12639.3
0.74053,12.643799999999999,12643.8
0.760557,12.6478,12647.8
0.780582,12.6515,12651.5
0.800607,12.654700000000002,12654.7
0.820635,12.6575,12657.5
0.84066,12.66,12660.0
0.860687,12.6621,12662.1
0.880711,12.6638,12663.8
0.900736,12.6652,12665.2
0.920645,12.6663,12666.3
0.940464,12.667100000000001,12667.1
0.960281,12.6675,12667.5
0.980103,12.667700000000002,12667.7
0.999921,12.6676,12667.6
1.01974,12.667100000000001,12667.1
1.03956,12.6664,12666.4
1.06,12.6654,12665.4
1.08037,12.664100000000001,12664.1
1.10042,12.662600000000001,12662.6
1.12047,12.6608,12660.8
1.14053,12.658700000000001,12658.7
1.16058,12.6564,12656.4
1.18063,12.6538,12653.8
1.20069,12.651,12651.0
1.22074,12.648,12648.0
1.24079,12.6447,12644.7
1.26085,12.6411,12641.1
1.2809,12.6374,12637.4
1.3006,12.6334,12633.4
1.32022,12.6292,12629.2
1.33985,12.624799999999999,12624.8
1.35948,12.6202,12620.2
1.37964,12.615200000000002,12615.2
1.39995,12.6099,12609.9
1.42025,12.6044,12604.4
1.44055,12.598700000000001,12598.7
1.46086,12.5927,12592.7
1.48102,12.586500000000001,12586.5
1.50088,12.5801,12580.1
1.52074,12.5734,12573.4
1.5406,12.5665,12566.5
1.56046,12.5594,12559.4
1.58095,12.5518,12551.8
1.60152,12.5439,12543.9
1.62209,12.5358,12535.8
1.64266,12.5274,12527.4
1.66282,12.5187,12518.7
1.68294,12.5098,12509.8
1.70305,12.5007,12500.7
1.72316,12.491299999999999,12491.3
1.74328,12.4816,12481.6
1.76339,12.4717,12471.7
1.78351,12.461500000000001,12461.5
1.80343,12.4511,12451.1
1.82309,12.4405,12440.5
1.84274,12.4295,12429.5
1.8624,12.4183,12418.3
1.88206,12.406799999999999,12406.8
1.90171,12.395100000000001,12395.1
1.92137,12.3829,12382.9
1.94103,12.370000000000001,12370.0
1.96069,12.3566,12356.6
1.98034,12.342799999999999,12342.8
2.0,12.328700000000001,12328.7
