"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.4293400000000003,3429.34
0.124006,4.392270000000001,4392.27
0.155041,5.23921,5239.21
0.186012,5.88058,5880.58
0.216989,6.43679,6436.79
0.247922,6.949380000000001,6949.38
0.278847,7.39607,7396.07
0.30979,7.84258,7842.58
0.340715,8.18028,8180.28
0.37164,8.51701,8517.01
0.402565,8.82321,8823.21
0.43349,9.08863,9088.63
0.464415,9.31593,9315.93
0.49534,9.50281,9502.81
0.526265,9.65811,9658.11
0.55719,9.7795,9779.5
0.588115,9.85141,9851.41
0.619157,9.87518,9875.18
0.65033,9.8725,9872.5
0.681503,9.851750000000001,9851.75
0.71268,9.82331,9823.31
0.743852,9.79082,9790.82
0.775025,9.75607,9756.07
0.806202,9.71938,9719.38
0.837374,9.680629999999999,9680.63
0.868551,9.64017,9640.17
0.899724,9.59775,9597.75
0.930896,9.55323,9553.23
0.962073,9.50708,9507.08
0.993246,9.45785,9457.85
1.02426,9.404459999999998,9404.46
1.05523,9.34842,9348.42
1.0862,9.287690000000001,9287.69
1.11717,9.22319,9223.19
1.14813,9.15415,9154.15
1.1791,9.081010000000001,9081.01
1.21007,9.00297,9002.97
1.24104,8.92101,8921.01
1.272,8.834290000000001,8834.29
1.30297,8.743200000000002,8743.2
1.3339,9.00323,9003.23
1.36462,7.0454,7045.4
1.39533,8.153310000000001,8153.31
1.4265,8.32967,8329.67
1.45749,8.26462,8264.62
1.4881,8.13297,8132.97
1.51944,7.97705,7977.05
1.55061,7.898350000000001,7898.35
1.58177,7.78225,7782.25
1.61317,7.631880000000001,7631.88
1.64459,7.51266,7512.66
1.67601,7.361680000000001,7361.68
1.70743,7.2707500000000005,7270.75
1.73884,7.11695,7116.95
1.77026,7.013260000000001,7013.26
1.80168,6.85686,6856.86
1.83309,6.76168,6761.68
1.86451,6.61643,6616.43
1.8953,6.492310000000001,6492.31
1.92649,6.3623199999999995,6362.32
1.95728,6.217930000000001,6217.93
1.98853,6.09489,6094.89
2.0194,5.9703599999999994,5970.36
2.05056,5.86616,5866.16
2.08155,5.7594899999999996,5759.49
2.11234,5.66439,5664.39
2.14363,5.54634,5546.34
2.17434,5.48522,5485.22
2.20547,5.38229,5382.29
2.23679,5.30821,5308.21
2.26693,5.23622,5236.22
2.29887,5.154170000000001,5154.17
2.32975,5.077100000000001,5077.1
2.36015,5.033,5033.0
2.39142,4.94855,4948.55
2.42214,4.89179,4891.79
2.45447,4.802060000000001,4802.06
2.48588,4.79249,4792.49
2.51607,4.7881,4788.1
2.54594,4.80174,4801.74
2.5758,4.75073,4750.73
2.6042,4.74526,4745.26
2.63598,4.71411,4714.11
2.66921,4.7204,4720.4
2.70249,4.693770000000001,4693.77
2.73577,4.64695,4646.95
2.76866,4.615270000000001,4615.27
2.79959,4.5888800000000005,4588.88
2.83033,4.57186,4571.86
2.86105,4.53958,4539.58
2.89177,4.51028,4510.28
2.92249,4.48467,4484.67
2.95321,4.48556,4485.56
2.98342,4.46146,4461.46
3.01172,4.40738,4407.38
3.03992,4.397060000000001,4397.06
3.06809,4.38197,4381.97
3.09625,4.33923,4339.23
