"displacement,mm","force,kN","force,N"
0.0,0.00322984,3.22984
0.0310005,1.1136400000000002,1113.64
0.0620038,2.24424,2244.24
0.0929936,3.4293400000000003,3429.34
0.124006,4.399850000000001,4399.85
0.155041,5.601439999999999,5601.44
0.186012,6.08924,6089.24
0.216989,6.56861,6568.61
0.247965,6.8812,6881.2
0.278892,7.19058,7190.58
0.309817,7.42899,7428.99
0.340742,7.70263,7702.63
0.371667,7.909350000000001,7909.35
0.402592,8.10653,8106.53
0.433517,8.29474,8294.74
0.464442,8.47216,8472.16
0.495367,8.619520000000001,8619.52
0.526292,8.7533,8753.3
0.557217,8.89681,8896.81
0.588142,9.001280000000001,9001.28
0.619184,9.119610000000002,9119.61
0.650357,9.213799999999999,9213.8
0.681529,9.29376,9293.76
0.712706,9.37625,9376.25
0.743879,9.4459,9445.9
0.775056,9.500680000000001,9500.68
0.806229,9.544110000000002,9544.11
0.837401,9.578040000000001,9578.04
0.868578,9.60261,9602.61
0.899751,9.61528,9615.28
0.930923,9.61515,9615.15
0.9621,9.60551,9605.51
0.993273,9.58601,9586.01
1.0243,9.558959999999999,9558.96
1.05527,9.5266,9526.6
1.08623,9.48998,9489.98
1.1172,9.449770000000001,9449.77
1.14817,9.40694,9406.94
1.17914,9.36106,9361.06
1.21011,9.31238,9312.38
1.24107,9.25877,9258.77
1.27204,9.200540000000002,9200.54
1.30301,9.138620000000001,9138.62
1.33398,9.07126,9071.26
1.36494,8.999360000000001,8999.36
1.39591,8.922709999999999,8922.71
1.42688,8.84098,8840.98
1.45785,8.75515,8755.15
1.48882,8.66383,8663.83
1.51978,8.56908,8569.08
1.55075,8.46828,8468.28
1.58177,7.51606,7516.06
1.61249,6.97483,6974.83
1.64317,8.242180000000001,8242.18
1.67453,8.16504,8165.04
1.70535,7.90688,7906.88
1.73575,7.845470000000001,7845.47
1.76738,7.73229,7732.29
1.7991,7.61182,7611.82
1.83082,7.47011,7470.11
1.86254,7.309010000000001,7309.01
1.89426,7.179460000000001,7179.46
1.92598,7.01416,7014.16
1.95771,6.85803,6858.03
1.98943,6.71079,6710.79
2.02096,6.557930000000001,6557.93
2.05213,6.4485,6448.5
2.0829,6.33386,6333.86
2.11423,6.15858,6158.58
2.14493,6.08506,6085.06
2.17609,5.97291,5972.91
2.20695,5.87112,5871.12
2.23804,5.72688,5726.88
2.26889,5.63717,5637.17
2.30005,5.52704,5527.04
2.33104,5.41125,5411.25
2.36198,5.3223199999999995,5322.32
2.39327,5.22798,5227.98
2.42366,5.13065,5130.65
2.45375,5.02794,5027.94
2.48574,4.97013,4970.13
2.51773,4.89421,4894.21
2.54927,4.8343300000000005,4834.33
2.57967,4.74711,4747.11
2.61007,4.66879,4668.79
2.63956,4.61352,4613.52
2.67105,4.556439999999999,4556.44
2.70395,4.4857700000000005,4485.77
2.73551,4.44611,4446.11
2.7666,4.389060000000001,4389.06
2.79775,4.36047,4360.47
2.82674,4.34974,4349.74
2.85886,4.34717,4347.17
2.89214,4.353260000000001,4353.26
2.92542,4.33632,4336.32
2.9587,4.30255,4302.55
2.99024,4.2825500000000005,4282.55
3.021,4.265479999999999,4265.48
3.05172,4.24561,4245.61
3.08244,4.2118199999999995,4211.82
3.11316,4.20583,4205.83
