
                  X             Displacement          Force      

                0.                 0.                 2.83444    
              100.001E-06         10.9994E-03         1.32212E+03
              200.013E-06         21.9971E-03         2.56764E+03
              300.002E-06         32.9979E-03         3.84633E+03
              400.001E-06         44.0047E-03         5.1669E+03 
              500.013E-06         55.0058E-03         6.40914E+03
              600.011E-06         66.004E-03          7.63105E+03
              700.01E-06          77.0094E-03         8.92635E+03
              800.008E-06         87.9884E-03        10.176E+03  
              900.007E-06         98.9676E-03        11.3418E+03 
                1.E-03           109.947E-03         12.4506E+03 
                1.1E-03          120.926E-03         13.5165E+03 
                1.2E-03          131.905E-03         14.4692E+03 
                1.3E-03          142.884E-03         15.051E+03  
                1.40001E-03      153.889E-03         15.2998E+03 
                1.5E-03          164.907E-03         15.4447E+03 
                1.60001E-03      175.927E-03         15.6556E+03 
                1.7E-03          186.946E-03         15.7812E+03 
                1.80001E-03      197.966E-03         15.8889E+03 
                1.9E-03          208.948E-03         15.9642E+03 
                2.00001E-03      219.958E-03         16.0339E+03 
                2.10001E-03      231.017E-03         16.0851E+03 
                2.20001E-03      242.077E-03         16.1126E+03 
                2.30001E-03      253.118E-03         16.1229E+03 
                2.40001E-03      264.121E-03         16.1186E+03 
                2.50001E-03      275.125E-03         16.1014E+03 
                2.60001E-03      286.128E-03         16.0737E+03 
                2.70001E-03      297.132E-03         16.0378E+03 
                2.80001E-03      308.135E-03         15.9959E+03 
                2.90001E-03      319.139E-03         15.9492E+03 
                3.00001E-03      330.142E-03         15.8987E+03 
                3.10001E-03      341.046E-03         15.8456E+03 
                3.20001E-03      351.938E-03         15.7898E+03 
                3.3E-03          362.829E-03         15.7322E+03 
                3.40001E-03      373.915E-03         15.6715E+03 
                3.50001E-03      385.002E-03         15.6092E+03 
                3.6E-03          396.086E-03         15.5452E+03 
                3.70001E-03      407.149E-03         15.4797E+03 
                3.8E-03          418.12E-03          15.4127E+03 
                3.90001E-03      429.092E-03         15.344E+03  
                4.00001E-03      440.064E-03         15.2738E+03 
                4.1E-03          451.035E-03         15.202E+03  
                4.20001E-03      462.006E-03         15.1286E+03 
                4.3E-03          472.897E-03         15.0535E+03 
                4.40001E-03      483.755E-03         14.9767E+03 
                4.50001E-03      494.612E-03         14.8982E+03 
                4.6E-03          505.415E-03         14.8179E+03 
                4.70001E-03      516.159E-03         14.736E+03  
                4.8E-03          527.186E-03         14.65E+03   
                4.9E-03          538.327E-03         14.561E+03  
                5.00001E-03      549.469E-03         14.4699E+03 
                5.1E-03          560.608E-03         14.3766E+03 
                5.20001E-03      571.63E-03          14.2818E+03 
                5.30001E-03      582.651E-03         14.1846E+03 
                5.4E-03          593.594E-03         14.0858E+03 
                5.5E-03          604.659E-03         13.9834E+03 
                5.6E-03          615.563E-03         13.8802E+03 
                5.7E-03          626.663E-03         13.7728E+03 
                5.80001E-03      637.594E-03         13.6647E+03 
                5.90001E-03      648.675E-03         13.5529E+03 
                6.00001E-03      659.629E-03         13.4403E+03 
                6.1E-03          670.682E-03         13.3239E+03 
                6.2E-03          681.576E-03         13.2069E+03 
                6.3E-03          692.665E-03         13.0858E+03 
                6.4E-03          703.533E-03         12.965E+03  
                6.50001E-03      714.718E-03         12.8387E+03 
                6.6E-03          725.597E-03         12.7128E+03 
                6.70001E-03      736.642E-03         12.5831E+03 
                6.8E-03          747.676E-03         12.4518E+03 
                6.9E-03          758.596E-03         12.3196E+03 
                7.E-03           769.688E-03         12.1827E+03 
                7.1E-03          780.605E-03         12.0468E+03 
                7.2E-03          791.659E-03         11.907E+03  
                7.3E-03          802.682E-03         11.7653E+03 
                7.40001E-03      813.531E-03         11.6251E+03 
                7.5E-03          824.688E-03         11.4781E+03 
                7.6E-03          835.695E-03         11.3327E+03 
                7.7E-03          846.5E-03           11.189E+03  
                7.80001E-03      857.7E-03           11.0364E+03 
                7.9E-03          868.782E-03         10.8857E+03 
                8.E-03           880.241E-03         10.7261E+03 
                8.10001E-03      891.506E-03         10.5699E+03 
                8.2E-03          902.477E-03         10.4158E+03 
                8.3E-03          913.335E-03         10.2627E+03 
                8.4E-03          923.85E-03          10.1117E+03 
                8.5E-03          934.306E-03          9.96275E+03
                8.6E-03          945.657E-03          9.79723E+03
                8.7E-03          957.368E-03          9.62897E+03
                8.8E-03          968.328E-03          9.46596E+03
                8.9E-03          978.996E-03          9.30648E+03
                9.E-03           989.662E-03          9.14761E+03
                9.1E-03            1.00033            8.99172E+03
                9.2E-03            1.01099            8.83915E+03
                9.3E-03            1.02172            8.6884E+03 
                9.4E-03            1.03324            8.51751E+03
                9.5E-03            1.04476            8.35172E+03
                9.6E-03            1.05628            8.19019E+03
                9.7E-03            1.0678             8.03303E+03
                9.8E-03            1.07932            7.88005E+03
                9.9E-03            1.09062            7.73103E+03
               10.E-03             1.10086            7.587E+03  




